file_key,rep,combo_idx,amp,cutoff0,cutoff1,numValid,eps_ratio,swer,errors,gt_syllables,num_intervals,hit_rate,eff_rate,error
02-2,(none),11,1.3,0,5400,5000,0.06,0.020161,5,248,125,0.9917,0.9738,
02-2,(none),12,1.4,0,5400,5000,0.02,0.020161,5,248,125,0.9883,0.9783,
02-2,(none),12,1.4,0,5400,5000,0.02,0.020161,5,248,125,0.9883,0.9783,
02-2,(none),13,1.4,0,5400,5000,0.04,0.024194,6,248,125,0.9896,0.9784,
02-2,(none),13,1.4,0,5400,5000,0.04,0.024194,6,248,125,0.9896,0.9784,
02-2,(none),14,1.4,0,5400,5000,0.06,0.020161,5,248,125,0.9895,0.9782,
02-2,(none),14,1.4,0,5400,5000,0.06,0.020161,5,248,125,0.9895,0.9782,
02-2,(none),15,1.5,0,5400,5000,0.02,0.028226,7,248,126,0.9848,0.9667,
02-2,(none),15,1.5,0,5400,5000,0.02,0.03629,9,248,126,0.9848,0.9667,
02-2,(none),16,1.5,0,5400,5000,0.04,0.024194,6,248,126,0.9855,0.9801,
02-2,(none),16,1.5,0,5400,5000,0.04,0.020161,5,248,126,0.9855,0.9801,
02-2,(none),17,1.5,0,5400,5000,0.06,0.020161,5,248,126,0.9841,0.9803,
02-2,(none),17,1.5,0,5400,5000,0.06,0.024194,6,248,126,0.9841,0.9803,
02-2,(none),18,1.7,0,5400,5000,0.02,0.024194,6,248,125,0.9833,0.9723,
02-2,(none),18,1.7,0,5400,5000,0.02,0.024194,6,248,125,0.9833,0.9723,
02-2,(none),19,1.7,0,5400,5000,0.04,0.016129,4,248,125,0.9839,0.986,
02-2,(none),19,1.7,0,5400,5000,0.04,0.016129,4,248,125,0.9839,0.986,
02-2,(none),20,1.7,0,5400,5000,0.06,0.024194,6,248,125,0.9829,0.9535,
02-2,(none),20,1.7,0,5400,5000,0.06,0.020161,5,248,125,0.9829,0.9535,
02-2,(none),21,2.0,0,5400,5000,0.02,0.028226,7,248,126,0.9754,0.943,
